Legacy_Name,glyph_name,ps_name,USV,Dir,DesignerOrder,fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / comment,bcp47tags,OTLang,Feat,MarkGroup
absNyehMed,nyeh-ar.medi,uni0683.medi,,AL,549,*,absHahMed,hah-ar.medi,,_dot2h,,,,,,,,,,,
absNyehIni,nyeh-ar.init,uni0683.init,,AL,550,*,absHahIni,hah-ar.init,,_dot2h,,,,,,,,,,,
absNyehMed.hand,nyeh-ar.medi.hand,uni0683.medi.hand,,AL,551,H,absHahMed.hand,hah-ar.medi.hand,,_dot2h,,,,,,,,,,cv08=1,
,nyeh-ar.fina.alt,uni0683.fina.alt,,AL,552,MR,,,,,,,,,,,,,,,
,nyeh-ar.fina.ss07,uni0683.fina.ss07,,AL,553,MR,,,,,,,,,,,,,,ss07,
,nyeh-ar.medi.ss07,uni0683.medi.ss07,,AL,554,MR,,,,,,,,,,,,,,ss07,
,nyeh-ar.medi.low,uni0683.medi.low,,AL,555,MR,,,,,,,,,,,,,,,
,nyeh-ar.medi.stack,uni0683.medi.stack,,AL,556,MR,,,,,,,,,,,,,,,
absDyeh,dyeh-ar,uni0684,0684,AL,557,SHLMR,absHah,hah-ar,,,_dot2v,,,,,,,,,,
absDyehFin,dyeh-ar.fina,uni0684.fina,,AL,558,SHLMR,absHahFin,hah-ar.fina,,,_dot2v,,,,,,,,,,
absDyehMed,dyeh-ar.medi,uni0684.medi,,AL,559,SHLMR,absHahMed,hah-ar.medi,,_dot2v,,,,,,,,,,,
absDyehIni,dyeh-ar.init,uni0684.init,,AL,560,SHLMR,absHahIni,hah-ar.init,,_dot2v,,,,,,,,,,,
absDyehMed.hand,dyeh-ar.medi.hand,uni0684.medi.hand,,AL,561,H,absHahMed.hand,hah-ar.medi.hand,,_dot2v,,,,,,,,,,cv08=1,
,dyeh-ar.fina.alt,uni0684.fina.alt,,AL,562,MR,,hah-ar.fina.alt,,_dot2v,,,,,,,,,,,
,dyeh-ar.fina.ss07,uni0684.fina.ss07,,AL,563,MR,,hah-ar.fina.ss07,,_dot2v,,,,,,,,,,ss07,
,dyeh-ar.medi.ss07,uni0684.medi.ss07,,AL,564,MR,,hah-ar.medi.ss07,,_dot2v,,,,,,,,,,ss07,
