Legacy_Name,glyph_name,ps_name,USV,Dir,DesignerOrder,fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / comment,bcp47tags,OTLang,Feat,MarkGroup
absHahDigitFourBelowFin,hahFourbelow-ar.fina,uni077C.fina,,AL,637,SHL,absHahFin,hah-ar.fina,,,_four,,,,,5.1,,,,,
absHahDigitFourBelowMed,hahFourbelow-ar.medi,uni077C.medi,,AL,638,SHL,absHahMed,hah-ar.medi,,_four,,,,,,5.1,,,,,
absHahDigitFourBelowMed.hand,hahFourbelow-ar.medi.hand,uni077C.medi.hand,,AL,639,H,absHahMed.hand,hah-ar.medi.hand,,_four,,,,,,5.1,,,,cv08=1,
absHahDigitFourBelowIni,hahFourbelow-ar.init,uni077C.init,,AL,640,SHL,absHahIni,hah-ar.init,,_four,,,,,,5.1,,,,,
absJeemTwoDotsAbove,jeemTwodotsabove-ar,uni08A2,08A2,AL,641,SHLMR,absHah,hah-ar,_dot2h,,_dot1,,,,,6.1,,,,,
absJeemTwoDotsAboveFin,jeemTwodotsabove-ar.fina,uni08A2.fina,,AL,642,SHLMR,absHahFin,hah-ar.fina,_dot2h,,_dot1,,,,,6.1,,,,,
absJeemTwoDotsAboveMed,jeemTwodotsabove-ar.medi,uni08A2.medi,,AL,643,SHLMR,absHahMed,hah-ar.medi,_dot2h,,_dot1,,,,,6.1,,,,,
absJeemTwoDotsAboveIni,jeemTwodotsabove-ar.init,uni08A2.init,,AL,644,SHLMR,absHahIni,hah-ar.init,_dot2h,_dot1,,,,,,6.1,,,,,
absJeemTwoDotsAboveMed.hand,jeemTwodotsabove-ar.medi.hand,uni08A2.medi.hand,,AL,645,H,absHahMed.hand,hah-ar.medi.hand,_dot2h,_dot1,,,,,,6.1,,,,cv08=1,
,jeemTwodotsabove-ar.fina.alt,uni08A2.fina.alt,,AL,646,MR,,hah-ar.fina.alt,_dot2h,_dot1,,,,,,,,,,,
,jeemTwodotsabove-ar.fina.ss07,uni08A2.fina.ss07,,AL,647,MR,,hah-ar.fina.ss07,_dot2h,_dot1,,,,,,,,,,ss07,
,jeemTwodotsabove-ar.medi.ss07,uni08A2.medi.ss07,,AL,648,MR,,hah-ar.medi.ss07,_dot2h,_dot1,,,,,,,,,,ss07,
,jeemTwodotsabove-ar.medi.low,uni08A2.medi.low,,AL,649,MR,,hah-ar.medi.low,_dot2h,_dot1,,,,,,,,,,,
,jeemTwodotsabove-ar.medi.stack,uni08A2.medi.stack,,AL,650,MR,,hah-ar.medi.stack,_dot2h,_dot1,,,,,,,,,,,
absJeemThreeDotsAbove,jeemThreedotsabove-ar,uni08C5,08C5,AL,651,SHL,absHah,hah-ar,_dot3u,,_dot1,,,,,13.0,,,,,
absJeemThreeDotsAboveFin,jeemThreedotsabove-ar.fina,uni08C5.fina,,AL,652,SHL,absHahFin,hah-ar.fina,_dot3u,,_dot1,,,,,13.0,,,,,
absJeemThreeDotsAboveMed,jeemThreedotsabove-ar.medi,uni08C5.medi,,AL,653,SHL,absHahMed,hah-ar.medi,_dot3u,_dot1,,,,,,13.0,,,,,
,jeemThreedotsabove-ar.medi.hand,uni08C5.medi.hand,,AL,654,H,absHahMed.hand,hah-ar.medi.hand,_dot3u,_dot1,,,,,,13.0,,,,cv08=1,
absJeemThreeDotsAboveIni,jeemThreedotsabove-ar.init,uni08C5.init,,AL,655,SHL,absHahIni,hah-ar.init,_dot3u,_dot1,,,,,,13.0,,,,,
absJeemThreeDotsBelow,jeemThreedotsbelow-ar,uni08C6,08C6,AL,656,SHL,absHah,hah-ar,,,_dot1_dot3d,,,,,13.0,,,,,
absJeemThreeDotsBelowFin,jeemThreedotsbelow-ar.fina,uni08C6.fina,,AL,657,SHL,absHahFin,hah-ar.fina,,,_dot1_dot3d,,,,,13.0,,,,,
absJeemThreeDotsBelowMed,jeemThreedotsbelow-ar.medi,uni08C6.medi,,AL,658,SHL,absHahMed,hah-ar.medi,,_dot1_dot3d,,,,,,13.0,,,,,
,jeemThreedotsbelow-ar.medi.hand,uni08C6.medi.hand,,AL,659,H,absHahMed.hand,hah-ar.medi.hand,,_dot1_dot3d,,,,,,13.0,,,,cv08=1,
absJeemThreeDotsBelowIni,jeemThreedotsbelow-ar.init,uni08C6.init,,AL,660,SHL,absHahIni,hah-ar.init,,_dot1_dot3d,,,,,,13.0,,,,,
absDal,dal-ar,uni062F,062F,AL,661,*,,,,,,,,,,,,,,,
absDalFin,dal-ar.fina,uni062F.fina,,AL,662,*,,,,,,,,,,,,,,,
,dal-ar.alt,uni062F.alt,,AL,663,M,,,,,,,,,,,,,,,
,dal-ar.fina.alt,uni062F.fina.alt,,AL,664,M,,,,,,,,,,,,,,,
absDal.sen,dal-ar.loclWLF,uni062F.loclWLF,,AL,665,SH,,,,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalFin.sen,dal-ar.fina.loclWLF,uni062F.fina.loclWLF,,AL,666,H,,,,,,,,,,,,,,,
absThal,thal-ar,uni0630,0630,AL,667,*,absDal,dal-ar,_dot1,,,,,,,,,,,,
absThalFin,thal-ar.fina,uni0630.fina,,AL,668,*,absDalFin,dal-ar.fina,_dot1,,,,,,,,,,,,
absThal.sen,thal-ar.loclWLF,uni0630.loclWLF,,AL,669,SH,absDal.sen,dal-ar.loclWLF,_dot1,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absThalFin.sen,thal-ar.fina.loclWLF,uni0630.fina.loclWLF,,AL,670,H,absDalFin.sen,dal-ar.fina.loclWLF,_dot1,,,,,,,,,,,,
,thal-ar.alt,uni0630.alt,,AL,671,M,,,,,,,,,,,,,,,
,thal-ar.fina.alt,uni0630.fina.alt,,AL,672,M,,,,,,,,,,,,,,,
absDdal,ddal-ar,uni0688,0688,AL,673,SHL,absDal,dal-ar,_tah,,,,,,,,,,,,
absDdalFin,ddal-ar.fina,uni0688.fina,,AL,674,SHL,absDalFin,dal-ar.fina,_tah,,,,,,,,,,,,
absDdal.sen,ddal-ar.loclWLF,uni0688.loclWLF,,AL,675,SH,absDal.sen,dal-ar.loclWLF,_tah,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDdalFin.sen,ddal-ar.fina.loclWLF,uni0688.fina.loclWLF,,AL,676,H,absDalFin.sen,dal-ar.fina.loclWLF,_tah,,,,,,,,,,,,
absDahal,dahal-ar,uni068C,068C,AL,677,SHL,absDal,dal-ar,_dot2h,,,,,,,,,,,,
absDahalFin,dahal-ar.fina,uni068C.fina,,AL,678,SHL,absDalFin,dal-ar.fina,_dot2h,,,,,,,,,,,,
absDahal.sen,dahal-ar.loclWLF,uni068C.loclWLF,,AL,679,SH,absDal.sen,dal-ar.loclWLF,_dot2h,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDahalFin.sen,dahal-ar.fina.loclWLF,uni068C.fina.loclWLF,,AL,680,H,absDalFin.sen,dal-ar.fina.loclWLF,_dot2h,,,,,,,,,,,,
absDdahal,ddahal-ar,uni068D,068D,AL,681,SHL,absDal,dal-ar,,_dot2h,,,,,,,,,,,
absDdahalFin,ddahal-ar.fina,uni068D.fina,,AL,682,SHL,absDalFin,dal-ar.fina,,_dot2h,,,,,,,,,,,
absDdahal.sen,ddahal-ar.loclWLF,uni068D.loclWLF,,AL,683,SH,absDal.sen,dal-ar.loclWLF,,_dot2h,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDdahalFin.sen,ddahal-ar.fina.loclWLF,uni068D.fina.loclWLF,,AL,684,H,absDalFin.sen,dal-ar.fina.loclWLF,,_dot2h,,,,,,,,,,,
absDalRing,dalRing-ar,uni0689,0689,AL,685,SHL,absDal,dal-ar,,,,_ring,,,,,,,,,
absDalRingFin,dalRing-ar.fina,uni0689.fina,,AL,686,SHL,absDalFin,dal-ar.fina,,,,_ring,,,,,,,,,
absDalRing.sen,dalRing-ar.loclWLF,uni0689.loclWLF,,AL,687,SH,absDal.sen,dal-ar.loclWLF,,,,_ring,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalRingFin.sen,dalRing-ar.fina.loclWLF,uni0689.fina.loclWLF,,AL,688,H,absDalFin.sen,dal-ar.fina.loclWLF,,,,_ring,,,,,,,,,
absDalDotBelow,dalDotbelow-ar,uni068A,068A,AL,689,SHL,absDal,dal-ar,,_dot1,,,,,,,,,,,
absDalDotBelowFin,dalDotbelow-ar.fina,uni068A.fina,,AL,690,SHL,absDalFin,dal-ar.fina,,_dot1,,,,,,,,,,,
absDalDotBelow.sen,dalDotbelow-ar.loclWLF,uni068A.loclWLF,,AL,691,SH,absDal.sen,dal-ar.loclWLF,,_dot1,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalDotBelowFin.sen,dalDotbelow-ar.fina.loclWLF,uni068A.fina.loclWLF,,AL,692,H,absDalFin.sen,dal-ar.fina.loclWLF,,_dot1,,,,,,,,,,,
absDalDotBelowSmallTah,dalDotbelowTah-ar,uni068B,068B,AL,693,SHL,absDal,dal-ar,_tah,_dot1,,,,,,,,,,,
absDalDotBelowSmallTahFin,dalDotbelowTah-ar.fina,uni068B.fina,,AL,694,SHL,absDalFin,dal-ar.fina,_tah,_dot1,,,,,,,,,,,
absDalDotBelowSmallTah.sen,dalDotbelowTah-ar.loclWLF,uni068B.loclWLF,,AL,695,SH,absDal.sen,dal-ar.loclWLF,_tah,_dot1,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalDotBelowSmallTahFin.sen,dalDotbelowTah-ar.fina.loclWLF,uni068B.fina.loclWLF,,AL,696,H,absDalFin.sen,dal-ar.fina.loclWLF,_tah,_dot1,,,,,,,,,,,
absDul,dul-ar,uni068E,068E,AL,697,SHL,absDal,dal-ar,_dot3u,,,,,,,,,,,,
absDulFin,dul-ar.fina,uni068E.fina,,AL,698,SHL,absDalFin,dal-ar.fina,_dot3u,,,,,,,,,,,,
absDul.sen,dul-ar.loclWLF,uni068E.loclWLF,,AL,699,SH,absDal.sen,dal-ar.loclWLF,_dot3u,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDulFin.sen,dul-ar.fina.loclWLF,uni068E.fina.loclWLF,,AL,700,H,absDalFin.sen,dal-ar.fina.loclWLF,_dot3u,,,,,,,,,,,,
absDalThreeDotsAboveDownwards,dalThreedotsdown-ar,uni068F,068F,AL,701,SHL,absDal,dal-ar,_dot3d,,,,,,,,,,,,
absDalThreeDotsAboveDownwardsFin,dalThreedotsdown-ar.fina,uni068F.fina,,AL,702,SHL,absDalFin,dal-ar.fina,_dot3d,,,,,,,,,,,,
absDalThreeDotsAboveDownwards.sen,dalThreedotsdown-ar.loclWLF,uni068F.loclWLF,,AL,703,SH,absDal.sen,dal-ar.loclWLF,_dot3d,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalThreeDotsAboveDownwardsFin.sen,dalThreedotsdown-ar.fina.loclWLF,uni068F.fina.loclWLF,,AL,704,H,absDalFin.sen,dal-ar.fina.loclWLF,_dot3d,,,,,,,,,,,,
absDalFourDotsAbove,dalFourdots-ar,uni0690,0690,AL,705,SHL,absDal,dal-ar,_dot4,,,,,,,,,,,,
absDalFourDotsAboveFin,dalFourdots-ar.fina,uni0690.fina,,AL,706,SHL,absDalFin,dal-ar.fina,_dot4,,,,,,,,,,,,
absDalFourDotsAbove.sen,dalFourdots-ar.loclWLF,uni0690.loclWLF,,AL,707,SH,absDal.sen,dal-ar.loclWLF,_dot4,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalFourDotsAboveFin.sen,dalFourdots-ar.fina.loclWLF,uni0690.fina.loclWLF,,AL,708,H,absDalFin.sen,dal-ar.fina.loclWLF,_dot4,,,,,,,,,,,,
absDalHat,dalVinvertedabove-ar,uni06EE,06EE,AL,709,SHL,absDal,dal-ar,_hat,,,,,,,,,,,,
absDalHatFin,dalVinvertedabove-ar.fina,uni06EE.fina,,AL,710,SHL,absDalFin,dal-ar.fina,_hat,,,,,,,,,,,,
absDalHat.sen,dalVinvertedabove-ar.loclWLF,uni06EE.loclWLF,,AL,711,SH,absDal.sen,dal-ar.loclWLF,_hat,,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalHatFin.sen,dalVinvertedabove-ar.fina.loclWLF,uni06EE.fina.loclWLF,,AL,712,H,absDalFin.sen,dal-ar.fina.loclWLF,_hat,,,,,,,,,,,,
,dalTwodotsverticalbelow-ar,u10EC2,10EC2,AL,713,SHL,absDal,dal-ar,,_dot2v,,,,,,16.0,,,,,
,dalTwodotsverticalbelow-ar.fina,u10EC2.fina,,AL,714,SHL,absDalFin,dal-ar.fina,,_dot2v,,,,,,16.0,,,,,
,dalTwodotsverticalbelow-ar.loclWLF,u10EC2.loclWLF,,AL,715,SH,absDal.sen,dal-ar.loclWLF,,_dot2v,,,,,,16.0,Senegal variant from Mark,wo,WLF,cv12=1,
,dalTwodotsverticalbelow-ar.fina.loclWLF,u10EC2.fina.loclWLF,,AL,716,H,absDalFin.sen,dal-ar.fina.loclWLF,,_dot2v,,,,,,16.0,,,,,
absDalTwoVertBelowSmallTah,dalTwodotsverticalbelowTah-ar,uni0759,0759,AL,717,SHL,absDal,dal-ar,_tah,_dot2v,,,,,,,,,,,
absDalTwoVertBelowSmallTahFin,dalTwodotsverticalbelowTah-ar.fina,uni0759.fina,,AL,718,SHL,absDalFin,dal-ar.fina,_tah,_dot2v,,,,,,,,,,,
absDalTwoVertBelowSmallTah.sen,dalTwodotsverticalbelowTah-ar.loclWLF,uni0759.loclWLF,,AL,719,SH,absDal.sen,dal-ar.loclWLF,_tah,_dot2v,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalTwoVertBelowSmallTahFin.sen,dalTwodotsverticalbelowTah-ar.fina.loclWLF,uni0759.fina.loclWLF,,AL,720,H,absDalFin.sen,dal-ar.fina.loclWLF,_tah,_dot2v,,,,,,,,,,,
absDalInvSmallVBelow,dalVinvertedbelow-ar,uni075A,075A,AL,721,SHL,absDal,dal-ar,,_invSmallV,,,,,,,,,,,
absDalInvSmallVBelowFin,dalVinvertedbelow-ar.fina,uni075A.fina,,AL,722,SHL,absDalFin,dal-ar.fina,,_invSmallV,,,,,,,,,,,
absDalInvSmallVBelow.sen,dalVinvertedbelow-ar.loclWLF,uni075A.loclWLF,,AL,723,SH,absDal.sen,dal-ar.loclWLF,,_invSmallV,,,,,,,Senegal variant from Mark,wo,WLF,cv12=1,
absDalInvSmallVBelowFin.sen,dalVinvertedbelow-ar.fina.loclWLF,uni075A.fina.loclWLF,,AL,724,H,absDalFin.sen,dal-ar.fina.loclWLF,,_invSmallV,,,,,,,,,,,
absDalThreeDotsBelow,dalThreedotsbelow-ar,uni08AE,08AE,AL,725,SHL,absDal,dal-ar,,_dot3d,,,,,,7.0,,,,,
absDalThreeDotsBelowFin,dalThreedotsbelow-ar.fina,uni08AE.fina,,AL,726,SHL,absDalFin,dal-ar.fina,,_dot3d,,,,,,7.0,,,,,
absDalThreeDotsBelow.sen,dalThreedotsbelow-ar.loclWLF,uni08AE.loclWLF,,AL,727,SH,absDal.sen,dal-ar.loclWLF,,_dot3d,,,,,,7.0,Senegal variant from Mark,wo,WLF,cv12=1,
absDalThreeDotsBelowFin.sen,dalThreedotsbelow-ar.fina.loclWLF,uni08AE.fina.loclWLF,,AL,728,H,absDalFin.sen,dal-ar.fina.loclWLF,,_dot3d,,,,,,,,,,,
absReh,reh-ar,uni0631,0631,AL,729,*,,,,,,,,,,,,,,,
absRehFin,reh-ar.fina,uni0631.fina,,AL,730,*,,,,,,,,,,,,,,,
#,reh-ar.shrtail,uni0631.shrtail,,AL,731,-,,,,,,,,,,,,,,,
#,reh-ar.fina.shrtail,uni0631.fina.shrtail,,AL,732,-,,,,,,,,,,,,,,,
absZain,zain-ar,uni0632,0632,AL,733,*,absReh,reh-ar,_dot1,,,,,,,,,,,,
absZainFin,zain-ar.fina,uni0632.fina,,AL,734,*,absRehFin,reh-ar.fina,_dot1,,,,,,,,,,,,
#,zain-ar.shrtail,uni0632.shrtail,,AL,735,-,,reh-ar.shrtail,_dot1,,,,,,,,,,,,
#,zain-ar.fina.shrtail,uni0632.fina.shrtail,,AL,736,-,,reh-ar.fina.shrtail,_dot1,,,,,,,,,,,,
absZainHat,zainVinvertedabove-ar,uni08B2,08B2,AL,737,SHL,absReh,reh-ar,_dot1_hat,,,,,,,7.0,absJeh.dotHat,,,# cv90=1,
absZainHatFin,zainVinvertedabove-ar.fina,uni08B2.fina,,AL,738,SHL,absRehFin,reh-ar.fina,_dot1_hat,,,,,,,7.0,absJehFin.dotHat,,,,
#,zainVinvertedabove-ar.shrtail,uni08B2.shrtail,,AL,739,-,,reh-ar.shrtail,_dot1_hat,,,,,,,,,,,,
#,zainVinvertedabove-ar.fina.shrtail,uni08B2.fina.shrtail,,AL,740,-,,reh-ar.fina.shrtail,_dot1_hat,,,,,,,,,,,,
absRreh,rreh-ar,uni0691,0691,AL,741,SHL,absReh,reh-ar,_tah,,,,,,,,,,,,
absRrehFin,rreh-ar.fina,uni0691.fina,,AL,742,SHL,absRehFin,reh-ar.fina,_tah,,,,,,,,,,,,
#,rreh-ar.shrtail,uni0691.shrtail,,AL,743,-,,reh-ar.shrtail,_tah,,,,,,,,,,,,
#,rreh-ar.fina.shrtail,uni0691.fina.shrtail,,AL,744,-,,reh-ar.fina.shrtail,_tah,,,,,,,,,,,,
absRehSmallV,rehv-ar,uni0692,0692,AL,745,SHL,absReh,reh-ar,_smallV,,,,,,,,,,,,
absRehSmallVFin,rehv-ar.fina,uni0692.fina,,AL,746,SHL,absRehFin,reh-ar.fina,_smallV,,,,,,,,,,,,
#,rehv-ar.shrtail,uni0692.shrtail,,AL,747,-,,reh-ar.shrtail,_smallV,,,,,,,,,,,,
#,rehv-ar.fina.shrtail,uni0692.fina.shrtail,,AL,748,-,,reh-ar.fina.shrtail,_smallV,,,,,,,,,,,,
absRehRing,rehRing-ar,uni0693,0693,AL,749,SHL,absReh,reh-ar,,,,_ring,,,,,,,,,
absRehRingFin,rehRing-ar.fina,uni0693.fina,,AL,750,SHL,absRehFin,reh-ar.fina,,,,_ring,,,,,,,,,
#,rehRing-ar.shrtail,uni0693.shrtail,,AL,751,-,,reh-ar.shrtail,,,,_ring,,,,,,,,,
#,rehRing-ar.fina.shrtail,uni0693.fina.shrtail,,AL,752,-,,reh-ar.fina.shrtail,,,,_ring,,,,,,,,,
absRehDotBelow,rehDotbelow-ar,uni0694,0694,AL,753,SHL,absReh,reh-ar,,_dot1,,,,,,,,,,,
absRehDotBelowFin,rehDotbelow-ar.fina,uni0694.fina,,AL,754,SHL,absRehFin,reh-ar.fina,,_dot1,,,,,,,,,,,
#,rehDotbelow-ar.shrtail,uni0694.shrtail,,AL,755,-,,reh-ar.shrtail,,_dot1,,,,,,,,,,,
#,rehDotbelow-ar.fina.shrtail,uni0694.fina.shrtail,,AL,756,-,,reh-ar.fina.shrtail,,_dot1,,,,,,,,,,,
absRehSmallVBelow,rehVbelow-ar,uni0695,0695,AL,757,SHL,absReh,reh-ar,,_smallV,,,,,,,,,,,
absRehSmallVBelowFin,rehVbelow-ar.fina,uni0695.fina,,AL,758,SHL,absRehFin,reh-ar.fina,,_smallV,,,,,,,,,,,
#,rehVbelow-ar.shrtail,uni0695.shrtail,,AL,759,-,,reh-ar.shrtail,,_smallV,,,,,,,,,,,
#,rehVbelow-ar.fina.shrtail,uni0695.fina.shrtail,,AL,760,-,,reh-ar.fina.shrtail,,_smallV,,,,,,,,,,,
absRehDotBelowDotAbove,rehDotbelowdotabove-ar,uni0696,0696,AL,761,SHL,absReh,reh-ar,,_dot1,_dot1,,,,,,,,,,
absRehDotBelowDotAboveFin,rehDotbelowdotabove-ar.fina,uni0696.fina,,AL,762,SHL,absRehFin,reh-ar.fina,,_dot1,_dot1,,,,,,,,,,
#,rehDotbelowdotabove-ar.shrtail,uni0696.shrtail,,AL,763,-,,reh-ar.shrtail,,_dot1,_dot1,,,,,,,,,,
#,rehDotbelowdotabove-ar.fina.shrtail,uni0696.fina.shrtail,,AL,764,-,,reh-ar.fina.shrtail,,_dot1,_dot1,,,,,,,,,,
absRehTwoDotsAbove,rehTwodots-ar,uni0697,0697,AL,765,SHL,absReh,reh-ar,_dot2h,,,,,,,,,,,,
absRehTwoDotsAboveFin,rehTwodots-ar.fina,uni0697.fina,,AL,766,SHL,absRehFin,reh-ar.fina,_dot2h,,,,,,,,,,,,
#,rehTwodots-ar.shrtail,uni0697.shrtail,,AL,767,-,,reh-ar.shrtail,_dot2h,,,,,,,,,,,,
#,rehTwodots-ar.fina.shrtail,uni0697.fina.shrtail,,AL,768,-,,reh-ar.fina.shrtail,_dot2h,,,,,,,,,,,,
absJeh,jeh-ar,uni0698,0698,AL,769,*,absReh,reh-ar,_dot3u,,,,,,,,,,,# cv90,
absJehFin,jeh-ar.fina,uni0698.fina,,AL,770,*,absRehFin,reh-ar.fina,_dot3u,,,,,,,,,,,,
#,jeh-ar.shrtail,uni0698.shrtail,,AL,771,-,,reh-ar.shrtail,_dot3u,,,,,,,,,,,,
#,jeh-ar.fina.shrtail,uni0698.fina.shrtail,,AL,772,-,,reh-ar.fina.shrtail,_dot3u,,,,,,,,,,,,
absRehFourDotsAbove,rehFourdots-ar,uni0699,0699,AL,773,SHL,absReh,reh-ar,_dot4,,,,,,,,,,,,
absRehFourDotsAboveFin,rehFourdots-ar.fina,uni0699.fina,,AL,774,SHL,absRehFin,reh-ar.fina,_dot4,,,,,,,,,,,,
#,rehFourdots-ar.shrtail,uni0699.shrtail,,AL,775,-,,reh-ar.shrtail,_dot4,,,,,,,,,,,,
#,rehFourdots-ar.fina.shrtail,uni0699.fina.shrtail,,AL,776,-,,reh-ar.fina.shrtail,_dot4,,,,,,,,,,,,
absRehHat,rehVinvertedabove-ar,uni06EF,06EF,AL,777,SHL,absReh,reh-ar,_hat,,,,,,,,,,,,
absRehHatFin,rehVinvertedabove-ar.fina,uni06EF.fina,,AL,778,SHL,absRehFin,reh-ar.fina,_hat,,,,,,,,,,,,
#,rehVinvertedabove-ar.shrtail,uni06EF.shrtail,,AL,779,-,,reh-ar.shrtail,_hat,,,,,,,,,,,,
#,rehVinvertedabove-ar.fina.shrtail,uni06EF.fina.shrtail,,AL,780,-,,reh-ar.fina.shrtail,_hat,,,,,,,,,,,,
absRehBar,rehStroke-ar,uni075B,075B,AL,781,SHL,absReh,reh-ar,,,,,_bar,,,,,,,,
absRehBarFin,rehStroke-ar.fina,uni075B.fina,,AL,782,SHL,absRehFin,reh-ar.fina,,,,,_bar,,,,,,,,
#,rehStroke-ar.shrtail,uni075B.shrtail,,AL,783,-,,reh-ar.shrtail,,,,,_bar,,,,,,,,
#,rehStroke-ar.fina.shrtail,uni075B.fina.shrtail,,AL,784,-,,reh-ar.fina.shrtail,,,,,_bar,,,,,,,,
absRehTwoVertAbove,rehTwodotsverticalabove-ar,uni076B,076B,AL,785,SHL,absReh,reh-ar,_dot2v,,,,,,,,,,,,
absRehTwoVertAboveFin,rehTwodotsverticalabove-ar.fina,uni076B.fina,,AL,786,SHL,absRehFin,reh-ar.fina,_dot2v,,,,,,,,,,,,
#,rehTwodotsverticalabove-ar.shrtail,uni076B.shrtail,,AL,787,-,,reh-ar.shrtail,_dot2v,,,,,,,,,,,,
#,rehTwodotsverticalabove-ar.fina.shrtail,uni076B.fina.shrtail,,AL,788,-,,reh-ar.fina.shrtail,_dot2v,,,,,,,,,,,,
absRehHamzaAbove,rehHamzaabove-ar,uni076C,076C,AL,789,SHL,absReh,reh-ar,_hamza,,,,,,,,,,,,
absRehHamzaAboveFin,rehHamzaabove-ar.fina,uni076C.fina,,AL,790,SHL,absRehFin,reh-ar.fina,_hamza,,,,,,,,,,,,
#,rehHamzaabove-ar.shrtail,uni076C.shrtail,,AL,791,-,,reh-ar.shrtail,_hamza,,,,,,,,,,,,
#,rehHamzaabove-ar.fina.shrtail,uni076C.fina.shrtail,,AL,792,-,,reh-ar.fina.shrtail,_hamza,,,,,,,,,,,,
absRehSmallTahTwoDots,rehTwodotshorizontalaboveTahabove-ar,uni0771,0771,AL,793,SHL,absReh,reh-ar,_dot2h_tah,,,,,,,5.1,,,,,
absRehSmallTahTwoDotsFin,rehTwodotshorizontalaboveTahabove-ar.fina,uni0771.fina,,AL,794,SHL,absRehFin,reh-ar.fina,_dot2h_tah,,,,,,,5.1,,,,,
#,rehTwodotshorizontalaboveTahabove-ar.shrtail,uni0771.shrtail,,AL,795,-,,reh-ar.shrtail,_dot2h_tah,,,,,,,,,,,,
#,rehTwodotshorizontalaboveTahabove-ar.fina.shrtail,uni0771.fina.shrtail,,AL,796,-,,reh-ar.fina.shrtail,_dot2h_tah,,,,,,,,,,,,
absRehSmallNoonAbove,rehNoonabove-ar,uni08B9,08B9,AL,797,SHL,absReh,reh-ar,_noon,,,,,,,9.0,,,,,
absRehSmallNoonAboveFin,rehNoonabove-ar.fina,uni08B9.fina,,AL,798,SHL,absRehFin,reh-ar.fina,_noon,,,,,,,9.0,,,,,
#,rehNoonabove-ar.shrtail,uni08B9.shrtail,,AL,799,-,,reh-ar.shrtail,_noon,,,,,,,,,,,,
#,rehNoonabove-ar.fina.shrtail,uni08B9.fina.shrtail,,AL,800,-,,reh-ar.fina.shrtail,_noon,,,,,,,,,,,,
absRehLoop,rehLoop-ar,uni08AA,08AA,AL,801,SHL,,reh-ar,,,,_ring,,,,6.1,,,,,
absRehLoopFin,rehLoop-ar.fina,uni08AA.fina,,AL,802,SHL,,reh-ar.fina,,,,_ring,,,,6.1,,,,,
#,rehLoop-ar.shrtail,uni08AA.shrtail,,AL,803,-,,reh-ar.shrtail,,,,_ring,,,,,,,,,
#,rehLoop-ar.fina.shrtail,uni08AA.fina.shrtail,,AL,804,-,,reh-ar.fina.shrtail,,,,_ring,,,,,,,,,
absSmallHighRehHahMark,rehHahabove-ar,uni0612,0612,NSM,805,SHL,,,,,,,,,,,,,,,5A
absSmallHighRehDadMark,rehDadabove-ar,uni0613,0613,NSM,806,SHL,,,,,,,,,,,,,,,5A
absSeen,seen-ar,uni0633,0633,AL,807,*,,,,,,,,,,,,,,,
absSeenFin,seen-ar.fina,uni0633.fina,,AL,808,*,,,,,,,,,,,,,,,
absSeenMed,seen-ar.medi,uni0633.medi,,AL,809,*,,,,,,,,,,,,,,,
absSeenIni,seen-ar.init,uni0633.init,,AL,810,*,,,,,,,,,,,,,,,
,seen-ar.shrtail,uni0633.shrtail,,AL,811,M,,,,,,,,,,,,,,,
,seen-ar.longtail,uni0633.longtail,,AL,812,M,,,,,,,,,,,,,,,
,seen-ar.fina.shrtail,uni0633.fina.shrtail,,AL,813,M,,,,,,,,,,,,,,,
,seen-ar.fina.longtail,uni0633.fina.longtail,,AL,814,M,,,,,,,,,,,,,,,
,seen-ar.medi.flat,uni0633.medi.flat,,AL,815,MR,,,,,,,,,,,,,,,
,seen-ar.fina.low,uni0633.fina.low,,AL,816,MR,,,,,,,,,,,,,,,
absSeenDotBelowDotAbove,seenDotbelowDotabove-ar,uni069A,069A,AL,817,SHL,absSeen,seen-ar,_dot1,_dot1,,,,,,,,,,,
absSeenDotBelowDotAboveFin,seenDotbelowDotabove-ar.fina,uni069A.fina,,AL,818,SHL,absSeenFin,seen-ar.fina,_dot1,_dot1,,,,,,,,,,,
absSeenDotBelowDotAboveMed,seenDotbelowDotabove-ar.medi,uni069A.medi,,AL,819,SHL,absSeenMed,seen-ar.medi,_dot1,_dot1,,,,,,,,,,,
absSeenDotBelowDotAboveIni,seenDotbelowDotabove-ar.init,uni069A.init,,AL,820,SHL,absSeenIni,seen-ar.init,_dot1,_dot1,,,,,,,,,,,
