Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
absBehThreeDotsHorizBelow	behThreedotshorizontalbelow-ar	uni0750	0750	AL	347	SHL	absBehNoDots	behDotless-ar		_dot3h											
absBehThreeDotsHorizBelowFin	behThreedotshorizontalbelow-ar.fina	uni0750.fina		AL	348	SHL	absBehNoDotsFin	behDotless-ar.fina		_dot3h											
absBehThreeDotsHorizBelowMed	behThreedotshorizontalbelow-ar.medi	uni0750.medi		AL	349	SHL	absBehNoDotsMed	behDotless-ar.medi		_dot3h											
absBehThreeDotsHorizBelowIni	behThreedotshorizontalbelow-ar.init	uni0750.init		AL	350	SHL	absBehNoDotsIni	behDotless-ar.init		_dot3h											
absBehThreeDotsAboveDotBelow	behThreedotsupabove-ar	uni0751	0751	AL	351	SHL	absBehNoDots	behDotless-ar	_dot3u	_dot1											
absBehThreeDotsAboveDotBelowFin	behThreedotsupabove-ar.fina	uni0751.fina		AL	352	SHL	absBehNoDotsFin	behDotless-ar.fina	_dot3u	_dot1											
absBehThreeDotsAboveDotBelowMed	behThreedotsupabove-ar.medi	uni0751.medi		AL	353	SHL	absBehNoDotsMed	behDotless-ar.medi	_dot3u	_dot1											
absBehThreeDotsAboveDotBelowIni	behThreedotsupabove-ar.init	uni0751.init		AL	354	SHL	absBehNoDotsIni	behDotless-ar.init	_dot3u	_dot1											
absBehThreeDotsUpBelow	behThreedotsupbelow-ar	uni0752	0752	AL	355	SHL	absBehNoDots	behDotless-ar		_dot3u											
absBehThreeDotsUpwardBelow	behThreedotsupbelow-ar	uni0752	0752	AL	356	-	absBehNoDots	behDotless-ar		_dot3u											
absBehThreeDotsUpBelowFin	behThreedotsupbelow-ar.fina	uni0752.fina		AL	357	SHL	absBehNoDotsFin	behDotless-ar.fina		_dot3u											
absBehThreeDotsUpwardBelowFin	behThreedotsupbelow-ar.fina	uni0752.fina		AL	358	-	absBehNoDotsFin	behDotless-ar.fina		_dot3u											
absBehThreeDotsUpBelowMed	behThreedotsupbelow-ar.medi	uni0752.medi		AL	359	SHL	absBehNoDotsMed	behDotless-ar.medi		_dot3u											
absBehThreeDotsUpwardBelowMed	behThreedotsupbelow-ar.medi	uni0752.medi		AL	360	-	absBehNoDotsMed	behDotless-ar.medi		_dot3u											
absBehThreeDotsUpBelowIni	behThreedotsupbelow-ar.init	uni0752.init		AL	361	SHL	absBehNoDotsIni	behDotless-ar.init		_dot3u											
absBehThreeDotsUpwardBelowIni	behThreedotsupbelow-ar.init	uni0752.init		AL	362	-	absBehNoDotsIni	behDotless-ar.init		_dot3u											
absBehTwoDotsAboveThreeDotsUpBelow	tehThreedotsupbelow-ar	uni0753	0753	AL	363	SHL	absBehNoDots	behDotless-ar	_dot2h	_dot3u											
absBehTwoDotsAboveThreeDotsUpwardBelow	tehThreedotsupbelow-ar	uni0753	0753	AL	364	-	absBehNoDots	behDotless-ar	_dot2h	_dot3u											
absBehTwoDotsAboveThreeDotsUpBelowFin	tehThreedotsupbelow-ar.fina	uni0753.fina		AL	365	SHL	absBehNoDotsFin	behDotless-ar.fina	_dot2h	_dot3u											
absBehTwoDotsAboveThreeDotsUpwardBelowFin	tehThreedotsupbelow-ar.fina	uni0753.fina		AL	366	-	absBehNoDotsFin	behDotless-ar.fina	_dot2h	_dot3u											
absBehTwoDotsAboveThreeDotsUpBelowMed	tehThreedotsupbelow-ar.medi	uni0753.medi		AL	367	SHL	absBehNoDotsMed	behDotless-ar.medi	_dot2h	_dot3u											
absBehTwoDotsAboveThreeDotsUpwardBelowMed	tehThreedotsupbelow-ar.medi	uni0753.medi		AL	368	-	absBehNoDotsMed	behDotless-ar.medi	_dot2h	_dot3u											
absBehTwoDotsAboveThreeDotsUpBelowIni	tehThreedotsupbelow-ar.init	uni0753.init		AL	369	SHL	absBehNoDotsIni	behDotless-ar.init	_dot2h	_dot3u											
absBehTwoDotsAboveThreeDotsUpwardBelowIni	tehThreedotsupbelow-ar.init	uni0753.init		AL	370	-	absBehNoDotsIni	behDotless-ar.init	_dot2h	_dot3u											
absBehDotAboveTwoDotsBelow	behTwodotsbelowDotabove-ar	uni0754	0754	AL	371	SHL	absBehNoDots	behDotless-ar	_dot1	_dot2h											
absBehDotAboveTwoDotsBelowFin	behTwodotsbelowDotabove-ar.fina	uni0754.fina		AL	372	SHL	absBehNoDotsFin	behDotless-ar.fina	_dot1	_dot2h											
absBehDotAboveTwoDotsBelowMed	behTwodotsbelowDotabove-ar.medi	uni0754.medi		AL	373	SHL	absBehNoDotsMed	behDotless-ar.medi	_dot1	_dot2h											
absBehDotAboveTwoDotsBelowIni	behTwodotsbelowDotabove-ar.init	uni0754.init		AL	374	SHL	absBehNoDotsIni	behDotless-ar.init	_dot1	_dot2h											
absBehInvSmallVBelow	behVinvertedbelow-ar	uni0755	0755	AL	375	SHLM	absBehNoDots	behDotless-ar		_invSmallV											
absBehInvSmallVBelowFin	behVinvertedbelow-ar.fina	uni0755.fina		AL	376	SHLM	absBehNoDotsFin	behDotless-ar.fina		_invSmallV											
absBehInvSmallVBelowMed	behVinvertedbelow-ar.medi	uni0755.medi		AL	377	SHLM	absBehNoDotsMed	behDotless-ar.medi		_invSmallV											
absBehInvSmallVBelowIni	behVinvertedbelow-ar.init	uni0755.init		AL	378	SHLM	absBehNoDotsIni	behDotless-ar.init		_invSmallV											
absBehSmallVAbove	behVabove-ar	uni0756	0756	AL	379	SHLM	absBehNoDots	behDotless-ar	_smallV												
absBehSmallVAboveFin	behVabove-ar.fina	uni0756.fina		AL	380	SHLM	absBehNoDotsFin	behDotless-ar.fina	_smallV												
absBehSmallVAboveMed	behVabove-ar.medi	uni0756.medi		AL	381	SHLM	absBehNoDotsMed	behDotless-ar.medi	_smallV												
absBehSmallVAboveIni	behVabove-ar.init	uni0756.init		AL	382	SHLM	absBehNoDotsIni	behDotless-ar.init	_smallV												
absBehSmallVBelow	behVbelow-ar	uni08A0	08A0	AL	383	SHM	absBehNoDots	behDotless-ar		_smallV						6.1					
absBehSmallVBelowFin	behVbelow-ar.fina	uni08A0.fina		AL	384	SHM	absBehNoDotsFin	behDotless-ar.fina		_smallV						6.1					
absBehSmallVBelowMed	behVbelow-ar.medi	uni08A0.medi		AL	385	SHM	absBehNoDotsMed	behDotless-ar.medi		_smallV						6.1					
absBehSmallVBelowIni	behVbelow-ar.init	uni08A0.init		AL	386	SHM	absBehNoDotsIni	behDotless-ar.init		_smallV						6.1					
absBehHamzaAbove	behhamzaabove-ar	uni08A1	08A1	AL	387	SHM	absBehNoDots	behDotless-ar	_hamza	_dot1						7.0					
absBehHamzaAboveFin	behhamzaabove-ar.fina	uni08A1.fina		AL	388	SHM	absBehNoDotsFin	behDotless-ar.fina	_hamza	_dot1						7.0					
absBehHamzaAboveMed	behhamzaabove-ar.medi	uni08A1.medi		AL	389	SHM	absBehNoDotsMed	behDotless-ar.medi	_hamza	_dot1						7.0					
absBehHamzaAboveIni	behhamzaabove-ar.init	uni08A1.init		AL	390	SHM	absBehNoDotsIni	behDotless-ar.init	_hamza	_dot1						7.0					
absBehNoDotsTehAbove	tehTehabove-ar	uni08B8	08B8	AL	391	SH	absBehNoDots	behDotless-ar	_teh							9.0					
absBehNoDotsTehAboveFin	tehTehabove-ar.fina	uni08B8.fina		AL	392	SH	absBehNoDotsFin	behDotless-ar.fina	_teh							9.0					
absBehNoDotsTehAboveMed	tehTehabove-ar.medi	uni08B8.medi		AL	393	SH	absBehNoDotsMed	behDotless-ar.medi	_teh							9.0					
absBehNoDotsTehAboveIni	tehTehabove-ar.init	uni08B8.init		AL	394	SH	absBehNoDotsIni	behDotless-ar.init	_teh							9.0					
absBehSmallMeemAbove	behMeemabove-ar	uni08B6	08B6	AL	395	SH	absBehNoDots	behDotless-ar	_meem	_dot1						8.0					
absBehSmallMeemAboveFin	behMeemabove-ar.fina	uni08B6.fina		AL	396	SH	absBehNoDotsFin	behDotless-ar.fina	_meem	_dot1						9.0					
absBehSmallMeemAboveMed	behMeemabove-ar.medi	uni08B6.medi		AL	397	SH	absBehNoDotsMed	behDotless-ar.medi	_meem	_dot1						9.0					
absBehSmallMeemAboveIni	behMeemabove-ar.init	uni08B6.init		AL	398	SH	absBehNoDotsIni	behDotless-ar.init	_meem	_dot1						9.0					
absPehSmallMeemAbove	pehMeemabove-ar	uni08B7	08B7	AL	399	SH	absBehNoDots	behDotless-ar	_meem	_dot3d						9.0					
absPehSmallMeemAboveFin	pehMeemabove-ar.fina	uni08B7.fina		AL	400	SH	absBehNoDotsFin	behDotless-ar.fina	_meem	_dot3d						9.0					
absPehSmallMeemAboveMed	pehMeemabove-ar.medi	uni08B7.medi		AL	401	SH	absBehNoDotsMed	behDotless-ar.medi	_meem	_dot3d						9.0					
absPehSmallMeemAboveIni	pehMeemabove-ar.init	uni08B7.init		AL	402	SH	absBehNoDotsIni	behDotless-ar.init	_meem	_dot3d						9.0					
absJeem	jeem-ar	uni062C	062C	AL	403	SHLM	absHah	hah-ar			_dot1										
absJeemFin	jeem-ar.fina	uni062C.fina		AL	404	SHLM	absHahFin	hah-ar.fina			_dot1										
absJeemMed	jeem-ar.medi	uni062C.medi		AL	405	SHLM	absHahMed	hah-ar.medi		_dot1											
absJeemIni	jeem-ar.init	uni062C.init		AL	406	SHLM	absHahIni	hah-ar.init		_dot1											
absJeemMed.hand	jeem-ar.medi.hand	uni062C.medi.hand		AL	407	H	absHahMed.hand	hah-ar.medi.hand		_dot1										cv08=1	
absTcheh	tcheh-ar	uni0686	0686	AL	408	SHL	absHah	hah-ar			_dot3d										
absTchehFin	tcheh-ar.fina	uni0686.fina		AL	409	SHL	absHahFin	hah-ar.fina			_dot3d										
absTchehMed	tcheh-ar.medi	uni0686.medi		AL	410	SHL	absHahMed	hah-ar.medi		_dot3d											
absTchehIni	tcheh-ar.init	uni0686.init		AL	411	SHL	absHahIni	hah-ar.init		_dot3d											
absTchehMed.hand	tcheh-ar.medi.hand	uni0686.medi.hand		AL	412	H	absHahMed.hand	hah-ar.medi.hand		_dot3d										cv08=1	
absTcheheh	tcheheh-ar	uni0687	0687	AL	413	SHL	absHah	hah-ar			_dot4										
absTchehehFin	tcheheh-ar.fina	uni0687.fina		AL	414	SHL	absHahFin	hah-ar.fina			_dot4										
absTchehehMed	tcheheh-ar.medi	uni0687.medi		AL	415	SHL	absHahMed	hah-ar.medi		_dot4											
absTchehehIni	tcheheh-ar.init	uni0687.init		AL	416	SHL	absHahIni	hah-ar.init		_dot4											
absTchehehMed.hand	tcheheh-ar.medi.hand	uni0687.medi.hand		AL	417	SHL	absHahMed.hand	hah-ar.medi.hand		_dot4											
absTchehDotAbove	tchehDotabove-ar	uni06BF	06BF	AL	418	SHL	absHah	hah-ar	_dot1		_dot3d										
absTchehDotAboveFin	tchehDotabove-ar.fina	uni06BF.fina		AL	419	SHL	absHahFin	hah-ar.fina	_dot1		_dot3d										
absTchehDotAboveMed	tchehDotabove-ar.medi	uni06BF.medi		AL	420	SHL	absHahMed	hah-ar.medi	_dot1	_dot3d											
absTchehDotAboveIni	tchehDotabove-ar.init	uni06BF.init		AL	421	SHL	absHahIni	hah-ar.init	_dot1	_dot3d											
absTchehDotAboveMed.hand	tchehDotabove-ar.medi.hand	uni06BF.medi.hand		AL	422	H	absHahMed.hand	hah-ar.medi.hand	_dot1	_dot3d										cv08=1	
absNyeh	nyeh-ar	uni0683	0683	AL	423	SHLM	absHah	hah-ar			_dot2h										
absNyehFin	nyeh-ar.fina	uni0683.fina		AL	424	SHLM	absHahFin	hah-ar.fina			_dot2h										
absNyehMed	nyeh-ar.medi	uni0683.medi		AL	425	SHLM	absHahMed	hah-ar.medi		_dot2h											
absNyehIni	nyeh-ar.init	uni0683.init		AL	426	SHLM	absHahIni	hah-ar.init		_dot2h											
absNyehMed.hand	nyeh-ar.medi.hand	uni0683.medi.hand		AL	427	H	absHahMed.hand	hah-ar.medi.hand		_dot2h										cv08=1	
absDyeh	dyeh-ar	uni0684	0684	AL	428	SHL	absHah	hah-ar			_dot2v										
absDyehFin	dyeh-ar.fina	uni0684.fina		AL	429	SHL	absHahFin	hah-ar.fina			_dot2v										
absDyehMed	dyeh-ar.medi	uni0684.medi		AL	430	SHL	absHahMed	hah-ar.medi		_dot2v											
absDyehIni	dyeh-ar.init	uni0684.init		AL	431	SHL	absHahIni	hah-ar.init		_dot2v											
absDyehMed.hand	dyeh-ar.medi.hand	uni0684.medi.hand		AL	432	H	absHahMed.hand	hah-ar.medi.hand		_dot2v										cv08=1	
absHah	hah-ar	uni062D	062D	AL	433	*															
absHahFin	hah-ar.fina	uni062D.fina		AL	434	*															
absHahMed	hah-ar.medi	uni062D.medi		AL	435	*															
absHahIni	hah-ar.init	uni062D.init		AL	436	*															
absHahMed.hand	hah-ar.medi.hand	uni062D.medi.hand		AL	437	H														cv08=1	
absHahHamzaAbove	hahHamzaabove-ar	uni0681	0681	AL	438	SHL	absHah	hah-ar	_hamza												
absHahHamzaAboveFin	hahHamzaabove-ar.fina	uni0681.fina		AL	439	SHL	absHahFin	hah-ar.fina	_hamza												
absHahHamzaAboveMed	hahHamzaabove-ar.medi	uni0681.medi		AL	440	SHL	absHahMed	hah-ar.medi	_hamza												
absHahHamzaAboveIni	hahHamzaabove-ar.init	uni0681.init		AL	441	SHL	absHahIni	hah-ar.init	_hamza												
absHahHamzaAboveMed.hand	hahHamzaabove-ar.medi.hand	uni0681.medi.hand		AL	442	SHL	absHahMed.hand	hah-ar.medi.hand	_hamza												
absHahTwoDotsVerticalAbove	hahTwodotsverticalabove-ar	uni0682	0682	AL	443	SHL	absHah	hah-ar	_dot2v												
absHahTwoDotsVerticalAboveFin	hahTwodotsverticalabove-ar.fina	uni0682.fina		AL	444	SHL	absHahFin	hah-ar.fina	_dot2v												
absHahTwoDotsVerticalAboveMed	hahTwodotsverticalabove-ar.medi	uni0682.medi		AL	445	SHL	absHahMed	hah-ar.medi	_dot2v												
absHahTwoDotsVerticalAboveIni	hahTwodotsverticalabove-ar.init	uni0682.init		AL	446	SHL	absHahIni	hah-ar.init	_dot2v												
absHahTwoDotsVerticalAboveMed.hand	hahTwodotsverticalabove-ar.medi.hand	uni0682.medi.hand		AL	447	H	absHahMed.hand	hah-ar.medi.hand	_dot2v											cv08=1	
absHahTwoDotsAbove	hahTwodotshorizontalabove-ar	uni0757	0757	AL	448	SHL	absHah	hah-ar	_dot2h												
absHahTwoDotsAboveFin	hahTwodotshorizontalabove-ar.fina	uni0757.fina		AL	449	SHL	absHahFin	hah-ar.fina	_dot2h												
absHahTwoDotsAboveMed	hahTwodotshorizontalabove-ar.medi	uni0757.medi		AL	450	SHL	absHahMed	hah-ar.medi	_dot2h												
absHahTwoDotsAboveIni	hahTwodotshorizontalabove-ar.init	uni0757.init		AL	451	SHL	absHahIni	hah-ar.init	_dot2h												
absHahTwoDotsAboveMed.hand	hahTwodotshorizontalabove-ar.medi.hand	uni0757.medi.hand		AL	452	H	absHahMed.hand	hah-ar.medi.hand	_dot2h											cv08=1	
absHahThreeDotsAbove	hahThreedotsabove-ar	uni0685	0685	AL	453	SHL	absHah	hah-ar	_dot3u												
absHahThreeDotsAboveFin	hahThreedotsabove-ar.fina	uni0685.fina		AL	454	SHL	absHahFin	hah-ar.fina	_dot3u												
absHahThreeDotsAboveMed	hahThreedotsabove-ar.medi	uni0685.medi		AL	455	SHL	absHahMed	hah-ar.medi	_dot3u												
absHahThreeDotsAboveIni	hahThreedotsabove-ar.init	uni0685.init		AL	456	SHL	absHahIni	hah-ar.init	_dot3u												
absHahThreeDotsAboveMed.hand	hahThreedotsabove-ar.medi.hand	uni0685.medi.hand		AL	457	H	absHahMed.hand	hah-ar.medi.hand	_dot3u											cv08=1	
absHahThreeDotsUpBelow	hahThreedotsupbelow-ar	uni0758	0758	AL	458	SHL	absHah	hah-ar			_dot3u										
absHahThreeDotsUpwardBelow	hahThreedotsupbelow-ar	uni0758	0758	AL	459	-	absHah	hah-ar			_dot3u										
absHahThreeDotsUpBelowFin	hahThreedotsupbelow-ar.fina	uni0758.fina		AL	460	SHL	absHahFin	hah-ar.fina			_dot3u										
absHahThreeDotsUpwardBelowFin	hahThreedotsupbelow-ar.fina	uni0758.fina		AL	461	-	absHahFin	hah-ar.fina			_dot3u										
absHahThreeDotsUpBelowMed	hahThreedotsupbelow-ar.medi	uni0758.medi		AL	462	SHL	absHahMed	hah-ar.medi		_dot3u											
absHahThreeDotsUpwardBelowMed	hahThreedotsupbelow-ar.medi	uni0758.medi		AL	463	-	absHahMed	hah-ar.medi		_dot3u											
absHahThreeDotsUpBelowIni	hahThreedotsupbelow-ar.init	uni0758.init		AL	464	SHL	absHahIni	hah-ar.init		_dot3u											
absHahThreeDotsUpwardBelowIni	hahThreedotsupbelow-ar.init	uni0758.init		AL	465	-	absHahIni	hah-ar.init		_dot3u											
absHahThreeDotsUpBelowMed.hand	hahThreedotsupbelow-ar.medi.hand	uni0758.medi.hand		AL	466	H	absHahMed.hand	hah-ar.medi.hand		_dot3u										cv08=1	
absKhah	khah-ar	uni062E	062E	AL	467	SHLM	absHah	hah-ar	_dot1												
absKhahFin	khah-ar.fina	uni062E.fina		AL	468	SHLM	absHahFin	hah-ar.fina	_dot1												
absKhahMed	khah-ar.medi	uni062E.medi		AL	469	SHLM	absHahMed	hah-ar.medi	_dot1												
absKhahIni	khah-ar.init	uni062E.init		AL	470	SHLM	absHahIni	hah-ar.init	_dot1												
absKhahMed.hand	khah-ar.medi.hand	uni062E.medi.hand		AL	471	H	absHahMed.hand	hah-ar.medi.hand	_dot1											cv08=1	
absHahSmallTahBelow	hahTahbelow-ar	uni076E	076E	AL	472	SHL	absHah	hah-ar			_tah					5.1					
absHahSmallTahBelowFin	hahTahbelow-ar.fina	uni076E.fina		AL	473	SHL	absHahFin	hah-ar.fina			_tah					5.1					
absHahSmallTahBelowMed	hahTahbelow-ar.medi	uni076E.medi		AL	474	SHL	absHahMed	hah-ar.medi		_tah						5.1					
absHahSmallTahBelowMed.hand	hahTahbelow-ar.medi.hand	uni076E.medi		AL	475	H	absHahMed.hand	hah-ar.medi.hand		_tah											
absHahSmallTahBelowIni	hahTahbelow-ar.init	uni076E.init		AL	476	SHL	absHahIni	hah-ar.init		_tah						5.1					
absHahSmallTahTwoDots	hahTahTwodotshorizontalabove-ar	uni076F	076F	AL	477	SHL	absHah	hah-ar			_dot2h_tah					5.1					
absHahSmallTahTwoDotsFin	hahTahTwodotshorizontalabove-ar.fina	uni076F.fina		AL	478	SHL	absHahFin	hah-ar.fina			_dot2h_tah					5.1					
absHahSmallTahTwoDotsMed	hahTahTwodotshorizontalabove-ar.medi	uni076F.medi		AL	479	SHL	absHahMed	hah-ar.medi		_dot2h_tah						5.1					
absHahSmallTahTwoDotsMed.hand	hahTahTwodotshorizontalabove-ar.medi.hand	uni076F.medi.hand		AL	480	H	absHahMed.hand	hah-ar.medi.hand		_dot2h_tah						5.1					
absHahSmallTahTwoDotsIni	hahTahTwodotshorizontalabove-ar.init	uni076F.init		AL	481	SHL	absHahIni	hah-ar.init		_dot2h_tah						5.1					
absHahSmallTahAbove	hahTahabove-ar	uni0772	0772	AL	482	SHL	absHah	hah-ar	_tah							5.1					
absHahSmallTahAboveFin	hahTahabove-ar.fina	uni0772.fina		AL	483	SHL	absHahFin	hah-ar.fina	_tah							5.1					
absHahSmallTahAboveMed	hahTahabove-ar.medi	uni0772.medi		AL	484	SHL	absHahMed	hah-ar.medi	_tah							5.1					
absHahSmallTahAboveMed.hand	hahTahabove-ar.medi.hand	uni0772.medi.hand		AL	485	H	absHahMed.hand	hah-ar.medi.hand	_tah							5.1					
absHahSmallTahAboveIni	hahTahabove-ar.init	uni0772.init		AL	486	SHL	absHahIni	hah-ar.init	_tah							5.1					
absHahDigitFourBelow	hahFourbelow-ar	uni077C	077C	AL	487	SHL	absHah	hah-ar			_four					5.1					
absHahDigitFourBelowFin	hahFourbelow-ar.fina	uni077C.fina		AL	488	SHL	absHahFin	hah-ar.fina			_four					5.1					
absHahDigitFourBelowMed	hahFourbelow-ar.medi	uni077C.medi		AL	489	SHL	absHahMed	hah-ar.medi		_four						5.1					
absHahDigitFourBelowMed.hand	hahFourbelow-ar.medi.hand	uni077C.medi.hand		AL	490	H	absHahMed.hand	hah-ar.medi.hand		_four						5.1					
absHahDigitFourBelowIni	hahFourbelow-ar.init	uni077C.init		AL	491	SHL	absHahIni	hah-ar.init		_four						5.1					
absJeemTwoDotsAbove	jeemTwodotsabove-ar	uni08A2	08A2	AL	492	SH	absHah	hah-ar	_dot2h		_dot1					6.1					
absJeemTwoDotsAboveFin	jeemTwodotsabove-ar.fina	uni08A2.fina		AL	493	SH	absHahFin	hah-ar.fina	_dot2h		_dot1					6.1					
absJeemTwoDotsAboveMed	jeemTwodotsabove-ar.medi	uni08A2.medi		AL	494	SH	absHahMed	hah-ar.medi	_dot2h	_dot1						6.1					
absJeemTwoDotsAboveIni	jeemTwodotsabove-ar.init	uni08A2.init		AL	495	SH	absHahIni	hah-ar.init	_dot2h	_dot1						6.1					
absJeemTwoDotsAboveMed.hand	jeemTwodotsabove-ar.medi.hand	uni08A2.medi.hand		AL	496	H	absHahMed.hand	hah-ar.medi.hand	_dot2h	_dot1						6.1				cv08=1	
absDal	dal-ar	uni062F	062F	AL	497	*															
absDalFin	dal-ar.fina	uni062F.fina		AL	498	*															
absDal.sen	dal-ar.loclWLF	uni062F.loclWLF		AL	499	SH											Senegal variant from Mark	wo	WLF	cv12=1	
absDalFin.sen	dal-ar.fina.loclWLF	uni062F.fina.loclWLF		AL	500	H															
absThal	thal-ar	uni0630	0630	AL	501	SHLM	absDal	dal-ar	_dot1												
absThalFin	thal-ar.fina	uni0630.fina		AL	502	SHLM	absDalFin	dal-ar.fina	_dot1												
absThal.sen	thal-ar.loclWLF	uni0630.loclWLF		AL	503	SH	absDal.sen	dal-ar.loclWLF	_dot1								Senegal variant from Mark	wo	WLF	cv12=1	
absThalFin.sen	thal-ar.fina.loclWLF	uni0630.fina.loclWLF		AL	504	H	absDalFin.sen	dal-ar.fina.loclWLF	_dot1												
absDdal	ddal-ar	uni0688	0688	AL	505	SHL	absDal	dal-ar	_tah												
absDdalFin	ddal-ar.fina	uni0688.fina		AL	506	SHL	absDalFin	dal-ar.fina	_tah												
absDdal.sen	ddal-ar.loclWLF	uni0688.loclWLF		AL	507	SH	absDal.sen	dal-ar.loclWLF	_tah								Senegal variant from Mark	wo	WLF	cv12=1	
absDdalFin.sen	ddal-ar.fina.loclWLF	uni0688.fina.loclWLF		AL	508	H	absDalFin.sen	dal-ar.fina.loclWLF	_tah												
absDahal	dahal-ar	uni068C	068C	AL	509	SHL	absDal	dal-ar	_dot2h												
absDahalFin	dahal-ar.fina	uni068C.fina		AL	510	SHL	absDalFin	dal-ar.fina	_dot2h												
absDahal.sen	dahal-ar.loclWLF	uni068C.loclWLF		AL	511	SH	absDal.sen	dal-ar.loclWLF	_dot2h								Senegal variant from Mark	wo	WLF	cv12=1	
absDahalFin.sen	dahal-ar.fina.loclWLF	uni068C.fina.loclWLF		AL	512	H	absDalFin.sen	dal-ar.fina.loclWLF	_dot2h												
absDdahal	ddahal-ar	uni068D	068D	AL	513	SHL	absDal	dal-ar		_dot2h											
absDdahalFin	ddahal-ar.fina	uni068D.fina		AL	514	SHL	absDalFin	dal-ar.fina		_dot2h											
absDdahal.sen	ddahal-ar.loclWLF	uni068D.loclWLF		AL	515	SH	absDal.sen	dal-ar.loclWLF		_dot2h							Senegal variant from Mark	wo	WLF	cv12=1	
absDdahalFin.sen	ddahal-ar.fina.loclWLF	uni068D.fina.loclWLF		AL	516	H	absDalFin.sen	dal-ar.fina.loclWLF		_dot2h											
absDalRing	dalRing-ar	uni0689	0689	AL	517	SHL	absDal	dal-ar				_ring									
absDalRingFin	dalRing-ar.fina	uni0689.fina		AL	518	SHL	absDalFin	dal-ar.fina				_ring									
absDalRing.sen	dalRing-ar.loclWLF	uni0689.loclWLF		AL	519	SH	absDal.sen	dal-ar.loclWLF				_ring					Senegal variant from Mark	wo	WLF	cv12=1	
absDalRingFin.sen	dalRing-ar.fina.loclWLF	uni0689.fina.loclWLF		AL	520	H	absDalFin.sen	dal-ar.fina.loclWLF				_ring									
absDalDotBelow	dalDotbelow-ar	uni068A	068A	AL	521	SHL	absDal	dal-ar		_dot1											
absDalDotBelowFin	dalDotbelow-ar.fina	uni068A.fina		AL	522	SHL	absDalFin	dal-ar.fina		_dot1											
absDalDotBelow.sen	dalDotbelow-ar.loclWLF	uni068A.loclWLF		AL	523	SH	absDal.sen	dal-ar.loclWLF		_dot1							Senegal variant from Mark	wo	WLF	cv12=1	
absDalDotBelowFin.sen	dalDotbelow-ar.fina.loclWLF	uni068A.fina.loclWLF		AL	524	H	absDalFin.sen	dal-ar.fina.loclWLF		_dot1											
absDalDotBelowSmallTah	dalDotbelowTah-ar	uni068B	068B	AL	525	SHL	absDal	dal-ar	_tah	_dot1											
absDalDotBelowSmallTahFin	dalDotbelowTah-ar.fina	uni068B.fina		AL	526	SHL	absDalFin	dal-ar.fina	_tah	_dot1											
absDalDotBelowSmallTah.sen	dalDotbelowTah-ar.loclWLF	uni068B.loclWLF		AL	527	SH	absDal.sen	dal-ar.loclWLF	_tah	_dot1							Senegal variant from Mark	wo	WLF	cv12=1	
absDalDotBelowSmallTahFin.sen	dalDotbelowTah-ar.fina.loclWLF	uni068B.fina.loclWLF		AL	528	H	absDalFin.sen	dal-ar.fina.loclWLF	_tah	_dot1											
absDul	dul-ar	uni068E	068E	AL	529	SHL	absDal	dal-ar	_dot3u												
absDulFin	dul-ar.fina	uni068E.fina		AL	530	SHL	absDalFin	dal-ar.fina	_dot3u												
absDul.sen	dul-ar.loclWLF	uni068E.loclWLF		AL	531	SH	absDal.sen	dal-ar.loclWLF	_dot3u								Senegal variant from Mark	wo	WLF	cv12=1	
absDulFin.sen	dul-ar.fina.loclWLF	uni068E.fina.loclWLF		AL	532	H	absDalFin.sen	dal-ar.fina.loclWLF	_dot3u												
absDalThreeDotsAboveDownwards	dalThreedotsdown-ar	uni068F	068F	AL	533	SHL	absDal	dal-ar	_dot3d												
absDalThreeDotsAboveDownwardsFin	dalThreedotsdown-ar.fina	uni068F.fina		AL	534	SHL	absDalFin	dal-ar.fina	_dot3d												
absDalThreeDotsAboveDownwards.sen	dalThreedotsdown-ar.loclWLF	uni068F.loclWLF		AL	535	SH	absDal.sen	dal-ar.loclWLF	_dot3d								Senegal variant from Mark	wo	WLF	cv12=1	
absDalThreeDotsAboveDownwardsFin.sen	dalThreedotsdown-ar.fina.loclWLF	uni068F.fina.loclWLF		AL	536	H	absDalFin.sen	dal-ar.fina.loclWLF	_dot3d												
absDalFourDotsAbove	dalFourdots-ar	uni0690	0690	AL	537	SHL	absDal	dal-ar	_dot4												
absDalFourDotsAboveFin	dalFourdots-ar.fina	uni0690.fina		AL	538	SHL	absDalFin	dal-ar.fina	_dot4												
absDalFourDotsAbove.sen	dalFourdots-ar.loclWLF	uni0690.loclWLF		AL	539	SH	absDal.sen	dal-ar.loclWLF	_dot4								Senegal variant from Mark	wo	WLF	cv12=1	
absDalFourDotsAboveFin.sen	dalFourdots-ar.fina.loclWLF	uni0690.fina.loclWLF		AL	540	H	absDalFin.sen	dal-ar.fina.loclWLF	_dot4												
absDalHat	dalVinvertedabove-ar	uni06EE	06EE	AL	541	SHL	absDal	dal-ar	_hat												
absDalHatFin	dalVinvertedabove-ar.fina	uni06EE.fina		AL	542	SHL	absDalFin	dal-ar.fina	_hat												
