Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
Icircumflex	Icircumflex	Icircumflex	00CE		167	*	I	I	circumflex												
Idieresis	Idieresis	Idieresis	00CF		168	*	I	I	dieresis												
Eth	Eth	Eth	00D0		169	*															
Ntilde	Ntilde	Ntilde	00D1		170	*	N	N	tilde												
Ograve	Ograve	Ograve	00D2		171	*	O	O	grave												
Oacute	Oacute	Oacute	00D3		172	*	O	O	acute												
Ocircumflex	Ocircumflex	Ocircumflex	00D4		173	*	O	O	circumflex												
Otilde	Otilde	Otilde	00D5		174	*	O	O	tilde												
Odieresis	Odieresis	Odieresis	00D6		175	*	O	O	dieresis												
multiply	multiply	multiply	00D7		176	*															
Oslash	Oslash	Oslash	00D8		177	*															
Ugrave	Ugrave	Ugrave	00D9		178	*	U	U	grave												
Uacute	Uacute	Uacute	00DA		179	*	U	U	acute												
Ucircumflex	Ucircumflex	Ucircumflex	00DB		180	*	U	U	circumflex												
Udieresis	Udieresis	Udieresis	00DC		181	*	U	U	dieresis												
Yacute	Yacute	Yacute	00DD		182	*	Y	Y	acute												
Thorn	Thorn	Thorn	00DE		183	*															
germandbls	germandbls	germandbls	00DF		184	*															
agrave	agrave	agrave	00E0		185	*	a	a	grave												
aacute	aacute	aacute	00E1		186	*	a	a	acute												
acircumflex	acircumflex	acircumflex	00E2		187	*	a	a	circumflex												
atilde	atilde	atilde	00E3		188	*	a	a	tilde												
adieresis	adieresis	adieresis	00E4		189	*	a	a	dieresis												
aring	aring	aring	00E5		190	*	a	a	ring												
ae	ae	ae	00E6		191	*															
ccedilla	ccedilla	ccedilla	00E7		192	*	c	c		cedilla											
egrave	egrave	egrave	00E8		193	*	e	e	grave												
eacute	eacute	eacute	00E9		194	*	e	e	acute												
ecircumflex	ecircumflex	ecircumflex	00EA		195	*	e	e	circumflex												
edieresis	edieresis	edieresis	00EB		196	*	e	e	dieresis												
igrave	igrave	igrave	00EC		197	*	dotlessi	idotless	grave												
iacute	iacute	iacute	00ED		198	*	dotlessi	idotless	acute												
icircumflex	icircumflex	icircumflex	00EE		199	*	dotlessi	idotless	circumflex												
idieresis	idieresis	idieresis	00EF		200	*	dotlessi	idotless	dieresis												
eth	eth	eth	00F0		201	*															
ntilde	ntilde	ntilde	00F1		202	*	n	n	tilde												
ograve	ograve	ograve	00F2		203	*	o	o	grave												
oacute	oacute	oacute	00F3		204	*	o	o	acute												
ocircumflex	ocircumflex	ocircumflex	00F4		205	*	o	o	circumflex												
otilde	otilde	otilde	00F5		206	*	o	o	tilde												
odieresis	odieresis	odieresis	00F6		207	*	o	o	dieresis												
divide	divide	divide	00F7		208	*															
oslash	oslash	oslash	00F8		209	*															
ugrave	ugrave	ugrave	00F9		210	*	u	u	grave												
uacute	uacute	uacute	00FA		211	*	u	u	acute												
ucircumflex	ucircumflex	ucircumflex	00FB		212	*	u	u	circumflex												
udieresis	udieresis	udieresis	00FC		213	*	u	u	dieresis												
yacute	yacute	yacute	00FD		214	*	y	y	acute												
thorn	thorn	thorn	00FE		215	*															
ydieresis	ydieresis	ydieresis	00FF		216	*	y	y	dieresis												
dotlessi	idotless	dotlessi	0131		217	*															
OE	OE	OE	0152		218	*															
oe	oe	oe	0153		219	*															
Scaron	Scaron	Scaron	0160		220	*	S	S	caron												
scaron	scaron	scaron	0161		221	*	s	s	caron												
Ydieresis	Ydieresis	Ydieresis	0178		222	*	Y	Y	dieresis												
Zcaron	Zcaron	Zcaron	017D		223	*	Z	Z	caron												
zcaron	zcaron	zcaron	017E		224	*	z	z	caron												
florin	florin	florin	0192		225	*															
